Disability_Type,Gender,Region,Socioeconomic_Status,Assistive_Tech_Use,Specialized_Training_Access,Parental_Involvement,Curriculum_Adaptation,Survival_to_Class10,Transition_to_Class12,Employment_Prospect
Intellectual Disability,Boys,Rural,High,Yes,Workshop,Low,Significant,0,0,1
Intellectual Disability,Girls,Rural,High,No,Workshop,High,None,1,0,0
Intellectual Disability,Boys,Rural,High,No,Formal Training,High,Some,0,0,1
Intellectual Disability,Girls,Urban,High,Yes,Workshop,Low,None,0,0,0
Intellectual Disability,Girls,Rural,Low,,None,High,None,0,0,1
Intellectual Disability,Girls,,Low,Yes,Workshop,Low,Some,0,0,0
Intellectual Disability,Girls,Urban,Low,No,Workshop,Low,,0,0,1
Intellectual Disability,Girls,Urban,High,No,Workshop,,Significant,1,0,0
Intellectual Disability,Girls,Urban,Low,No,Workshop,High,Significant,1,0,1
Intellectual Disability,Boys,,High,,Workshop,Low,None,1,1,1
Intellectual Disability,Girls,Rural,High,,None,Low,Some,0,0,1
Intellectual Disability,Girls,Urban,Medium,Yes,Workshop,Medium,Some,0,0,1
Intellectual Disability,Boys,Rural,Medium,Yes,None,Medium,Some,0,0,1
Intellectual Disability,Girls,Urban,Low,Yes,None,,Significant,1,0,1
Intellectual Disability,Boys,Rural,Medium,Yes,Formal Training,Medium,Some,0,0,0
Intellectual Disability,Girls,Rural,Medium,Yes,Formal Training,High,Significant,0,0,1
Intellectual Disability,Boys,Urban,Medium,No,Formal Training,Low,Some,0,0,0
Intellectual Disability,Girls,Rural,High,No,Formal Training,High,Some,0,0,1
Intellectual Disability,Girls,Urban,Medium,No,Formal Training,Medium,Significant,0,0,1
Intellectual Disability,Boys,Rural,Low,Yes,Workshop,,Significant,1,1,0
Intellectual Disability,Girls,Urban,Medium,,None,High,Some,1,1,1
Intellectual Disability,Boys,Rural,Low,Yes,Formal Training,Medium,Significant,0,0,0
Intellectual Disability,Girls,Urban,High,No,Workshop,Medium,Some,0,0,1
Intellectual Disability,Boys,Urban,Low,Yes,None,High,None,1,0,0
Intellectual Disability,Boys,Rural,High,Yes,Workshop,Low,None,0,0,1
Intellectual Disability,Girls,Rural,Medium,No,Workshop,Low,Some,0,0,0
Intellectual Disability,Girls,Urban,Medium,No,Formal Training,High,None,0,0,0
Intellectual Disability,Boys,Urban,High,Yes,None,High,None,0,0,1
Intellectual Disability,Boys,Rural,High,No,None,High,None,0,0,1
Intellectual Disability,Boys,Rural,Medium,No,None,High,None,0,0,0
Intellectual Disability,Boys,Urban,High,No,Formal Training,High,None,0,0,1
Intellectual Disability,Boys,Rural,Low,Yes,Workshop,High,None,0,0,1
Intellectual Disability,Girls,,Medium,No,None,High,Some,1,1,0
Intellectual Disability,Girls,Rural,High,,Workshop,Medium,Significant,1,0,0
Intellectual Disability,Boys,Rural,High,Yes,None,Medium,Significant,1,1,1
Intellectual Disability,Girls,Rural,Low,Yes,Formal Training,Medium,Significant,0,0,1
