Disability_Type,Gender,Region,Socioeconomic_Status,Assistive_Tech_Use,Specialized_Training_Access,Parental_Involvement,Curriculum_Adaptation,Survival_to_Class10,Transition_to_Class12,Employment_Prospect
Intellectual Disability,Boys,Urban,High,No,None,Medium,Some,0,0,1
Intellectual Disability,Boys,Urban,Low,Yes,Workshop,High,,0,0,1
Intellectual Disability,Boys,Rural,Medium,,Formal Training,Medium,Some,0,0,0
Intellectual Disability,Girls,Rural,Low,No,None,High,Some,0,0,1
Intellectual Disability,Boys,Rural,High,No,Workshop,Medium,Some,0,0,1
Intellectual Disability,Boys,Rural,Low,,None,Low,Some,0,0,1
Intellectual Disability,Boys,Rural,Low,No,Workshop,Medium,None,1,1,0
Intellectual Disability,Girls,Rural,Low,Yes,None,High,Some,0,0,1
Intellectual Disability,Boys,Urban,Medium,,None,High,Significant,0,0,1
Intellectual Disability,Boys,Rural,Low,Yes,Formal Training,Medium,None,0,0,0
Intellectual Disability,Boys,Rural,Medium,,None,Low,,0,0,0
Intellectual Disability,Boys,Urban,Medium,Yes,Workshop,Low,,0,0,0
Intellectual Disability,Girls,Urban,Low,Yes,Workshop,Medium,Some,0,0,0
Intellectual Disability,Boys,Urban,Low,No,Formal Training,Medium,None,1,1,1
Intellectual Disability,Girls,Urban,Low,Yes,Workshop,High,None,0,0,1
Intellectual Disability,Girls,Rural,High,No,Workshop,Low,Significant,0,0,0
Intellectual Disability,Girls,,Low,,Workshop,Medium,,0,0,1
Intellectual Disability,Boys,Rural,Medium,Yes,None,Low,Some,0,0,0
Intellectual Disability,Girls,Rural,Low,No,None,Medium,None,0,0,0
Intellectual Disability,Boys,Rural,High,No,Workshop,Medium,,0,0,0
Intellectual Disability,Girls,,Low,,Formal Training,Low,None,0,0,1
Intellectual Disability,Girls,Urban,High,No,None,Medium,Some,1,0,0
Intellectual Disability,Girls,Rural,High,Yes,Formal Training,Medium,Some,0,0,0
Intellectual Disability,Girls,Urban,Low,No,Workshop,High,,0,0,1
Intellectual Disability,Girls,,Medium,,Workshop,Medium,Some,0,0,1
Intellectual Disability,Girls,Rural,High,No,None,Medium,Some,1,1,0
Intellectual Disability,Girls,Urban,Low,No,Workshop,Medium,Significant,0,0,1
Intellectual Disability,Girls,Rural,Low,Yes,None,High,None,0,0,0
Intellectual Disability,Boys,Urban,Medium,No,Workshop,Low,None,0,0,0
Intellectual Disability,Boys,Rural,High,No,Workshop,High,None,0,0,0
Intellectual Disability,Girls,Urban,High,No,None,High,None,0,0,1
Intellectual Disability,Girls,Rural,Low,Yes,None,Low,None,0,0,1
Intellectual Disability,Girls,Rural,Low,No,None,High,None,0,0,1
Intellectual Disability,Boys,Rural,Medium,Yes,Workshop,Low,None,0,0,0
Intellectual Disability,Girls,Rural,Medium,No,Workshop,High,None,1,0,1
Intellectual Disability,Boys,Rural,High,Yes,Formal Training,,Significant,0,0,1
Intellectual Disability,Boys,Urban,High,Yes,None,Medium,None,0,0,0
Intellectual Disability,Boys,Urban,Low,No,Workshop,High,Significant,0,0,1
